OA,OB,OC,OD,OE
159.3267083699403,219.64744478368056,232.57256931977167,218.22007240398395,188.3454273402994
159.0,221.93918085818015,234.13244115243833,217.91970998512272,188.3454273402994
158.80806024884254,219.49487465542333,231.57936004747918,217.91970998512272,187.52333188166213
159.66527487215245,220.79175709251467,234.33736364481018,218.8332698654389,188.09572031282372
159.66527487215245,220.6354459283458,234.44615586526473,219.4766502386985,188.09572031282372
157.2800050864699,220.4835594777987,233.5658365429328,216.9331694324314,188.43831882077487
157.2800050864699,221.6235547048192,235.2275494069519,217.88299612406655,188.67167248953936
158.14550262337528,221.6235547048192,234.23279018958897,217.88299612406655,189.25115587493778
158.80806024884254,221.77916944564473,234.0363219673391,217.88299612406655,187.85632808079689
156.7801007781281,219.64744478368056,233.45235059857504,219.14607000811125,188.91532494744834
156.7801007781281,221.472345903501,233.45235059857504,217.56838005555863,188.2153022471871
156.28499608087785,221.472345903501,233.23807579381202,219.46298093300382,189.02380802428036
156.66843970627906,221.18318200080222,233.5658365429328,218.83783950679097,188.0026595556563
155.65346125287417,222.76669409945464,234.7977853387889,220.77137495608437,189.20095137181525
152.0690632574555,221.65062598603234,234.5591609807641,217.89217516927954,185.0
149.48578527739687,221.09726366465958,232.93990641364996,215.72667892497674,182.60887163552596
151.82226450688975,225.07776433935007,233.45235059857504,215.35319825811735,180.42172818150257
139.83204210766573,225.64130827488125,234.44615586526473,216.31458573105976,177.53027910753704
135.18135966175217,223.64704335179573,229.0589443789524,209.0956718825141,168.6297719858507
129.0968628588627,227.05505940189926,235.1276249188938,211.9929244102265,163.1349134918703
130.5526713629407,222.00900882621858,230.5558500667463,207.50421682462263,153.40469353966978
137.03284277865654,219.18485349129398,223.503914954526,194.64840096954302,135.4400236266961
139.01438774457844,218.14673960433146,225.055548698538,190.51509126575775,134.35028842544403
149.04026301640775,218.27734651126764,220.05681084665386,184.13310403075272,124.06449935416659
147.12239802287073,224.03571143904713,223.32263655975405,185.43192821086663,124.04031602668546
145.03103116229988,219.18485349129398,221.32555207205516,195.1665955024066,142.6218777046495
